Key	Type	Desc	Українська [c0]
Items/GingerbreadManHelm	Text		Голова пряника
Items/GingerbreadManHelmDesc	Text		Кумедний головний убір з пряників. Просто не звертайте уваги на моторошну посмішку та бездушні очі.
Items/GingerbreadPantsArmor	Text		Пряникові штани
Items/GingerbreadPantsArmorDesc	Text		Досить жорсткі ноги - головна особливість цих печених обладунків, а також крихти між пальцями ніг.
Items/Glass	Text		Скляний шматок
Items/GlassBridge	Text		Скляний міст
Items/GlassBridgeDesc	Text		Прозорий міст без опор, який можна побудувати через воду або прірву.
Items/GlassDesc	Text		Цей шматок скла можна використовувати як базовий матеріал для створення більш складних скляних об'єктів.
Items/GlassFloor	Text		Скляна підлога
Items/GlassFloorDesc	Text		Прозора плитка, що забезпечує кришталево чисте бачення землі під ногами.
Items/GlassSmelter	Text		Скляна піч
Items/GlassSmelterDesc	Text		Ця зручна піч може перетворити будь-яку піщану брилу на корисне скло.
Items/GlassStatuePrism	Text		"Скляна статуя ""Октаедр"""
Items/GlassStatuePrismDesc	Text		Ця смілива статуя слугує витвором мистецтва, що демонструє блискучі властивості скла.
Items/GlassWorkbench	Text		Скляний верстак
Items/GlassWorkbenchDesc	Text		Цей верстак дозволяє формувати скло у більш складні об'єкти, які можна додати до вашої бази.
Items/GlazedHeartberry	Text		Глазурована ягода-серце
Items/GlazedHeartberryDesc	Text		Покрита цукровою глазур'ю ягода-серцевина, яка залишається соковитою та свіжою всередині. Дуже смачно!
Items/GlowTulipRing	Text		Сяюче тюльпанове кільце
Items/GlowTulipRingDesc	Text		Сяюче кільце, яке увібрало в себе суть тюльпанів, що світяться.
Items/GlowingCoral	Text		Корал, що світиться
Items/GlowingCoralDesc	Text		Розгалужений вид коралів, який отримує свою енергію через світні води Затонулого моря.
Items/GlowingTulipFlower	Text		Тюльпан, що світиться
Items/GlowingTulipFlowerDesc	Text		Дорогоцінна мерехтлива квітка, що увібрала в себе давню енергію.
Items/GlowingTulipFlowerRare	Text		Тюльпан, що світиться золотом
Items/GlowingTulipFlowerRareDesc	Text		Дуже рідкісний варіант звичайного тюльпана, що світиться.
Items/GlowingTulipSeed	Text		Насіння тюльпана, що світиться
Items/GlowingTulipSeedDesc	Text		При посадці перетворюється на квітку, що світиться.
Items/GlurchChest	Text		Сундук Глерча
Items/GlurchChestDesc	Text		Слизька скриня, що плавиться, яка залишилася від Огидної Меси.
Items/GlurchTrophy	Text		Фігурка Глерча
Items/GlurchTrophyDesc	Text		Реалістичне зображення Огидної Меси Глерча.
Items/GoKartWorkbench	Text		Go-Kart Верстак
Items/GoKartWorkbenchDesc	Text		Довгий стіл для конструювання швидких транспортних засобів для ваших подорожей.
Items/Goat	Text		Бамбук
Items/GodsentBreastArmor	Text		Нагрудний обладунок короля, посланий Богом
Items/GodsentBreastArmorDesc	Text		Унікальний королівський обладунок, що нагадує серце держави. Золоті крила були додані, щоб успадкувати грацію Азеоса. Перш ніж його можна було використати, королівство розсипалося на порох зсередини.
Items/GodsentHelm	Text		Маска короля, послана Богом
Items/GodsentHelmDesc	Text		Унікальний, королівський обладунок, що нагадував голову держави, увінчуючи її як нащадка богів. Він призначався для майбутнього, яке так і не настало.
Items/GodsentPantsArmor	Text		Обладунок Божественні королівські штани
Items/GodsentPantsArmorDesc	Text		Унікальний, королівський обладунок, що нагадує спадкоємця держави, який повинен був нести славу королівства при успадкуванні трону. Похмуре пророцтво та акт вбивства обірвали королівський рід.
Items/GoldBar	Text		Злиток золота
Items/GoldBarDesc	Text		Злиток м'якого металу для ковальської та ювелірної справи.
Items/GoldCrystalNecklace	Text		Золоте намисто з кристалами
Items/GoldCrystalNecklaceDesc	Text		Блискуча прикраса, що поєднує в собі найцінніші матеріали.
Items/GoldCrystalRing	Text		Каблучка з золотим кристалом
Items/GoldCrystalRingDesc	Text		Дорогоцінна каблучка зі старовинними дорогоцінними каменями.
Items/GoldOre	Text		Золота руда
Items/GoldOreDesc	Text		Рідко зустрічається в глиняних і кам'яних стінах.
Items/GoldenCavelingMask	Text		Золота спелеологічна маска
Items/GoldenCavelingMaskDesc	Text		Складна маска з суворим виразом обличчя, яка, ймовірно, використовувалася в ритуалах або кимось із високопоставлених осіб.
Items/GoldenChocolate	Text		Золотий шоколад
Items/GoldenChocolateDesc	Text		Лімітована серія шоколаду для холодної пори року. Усередині немає золотого квитка, натомість все зроблено з нього!
Items/GoldenCocoon	Text		Золотий кокон
Items/GoldenCocoonDesc	Text		Позолочена лялечка, яка, схоже, не є її остаточною формою.
Items/GoldenFeather	Text		Золоте перо
Items/GoldenFeatherDesc	Text		Велике і блискуче, обов'язкове для колекціонерів.
Items/GoldenJellyfish	Text		Золота медуза
Items/GoldenJellyfishDesc	Text		Ця рідкісна медуза, схоже, добре обходиться без води і, мабуть, їй подобається ваша компанія.
Items/GoldenLarvaMeat	Text		Блискуче м'ясо личинки
Items/GoldenLarvaMeatDesc	Text		Рідкісний, золотистий варіант м'яса личинки, з підвищеними ефектами.
Items/GoldenNeedle	Text		Золота голка
Items/GoldenNeedleDesc	Text		Цей маленький скарб використовувався, щоб тримати мантію спелеолога на місці.
Items/GoldenRoseBouquet	Text		Букет із золотих троянд
Items/GoldenRoseBouquetDesc	Text		Цей прекрасний букет із золотих троянд прикрасить будь-яку кімнату. Подаруйте його тому, кого ви дуже любите.
Items/GoldenSpikeRing	Text		Золота каблучка-колосок
Items/GoldenSpikeRingDesc	Text		Цю золоту каблучку дуже незручно носити, але вона виглядає дуже круто.
Items/GoldenStarfish	Text		Золота морська зірка
Items/GoldenStarfishDesc	Text		Гостра як бритва океанська істота, відшліфована течіями до блиску.
Items/GoldenTorrentDart	Text		Золотий Дарт
Items/GoldenTorrentDartDesc	Text		Ця невловима риба з'являється в зграях у вигляді мерехтливого золота, щоб збити з пантелику хижаків.
Items/GoldenWhistle	Text		Золотий свисток
Items/GoldenWhistleDesc	Text		Маленький золотий свисток з невідомим призначенням. Звуки, які він видає, майже непомітні.
Items/GolemHelm	Text		Вартовий шолом
Items/GolemHelmDesc	Text		Відокремлена голова вартового ядра. Відчувається неймовірно незграбним і важким, але компенсує це чудовим захистом.
Items/GolemShield	Text		Щит вартового
Items/GolemShieldDesc	Text		Відкинута частина нагрудника основного вартового. Він має правильний розмір, щоб використовувати його як чудовий щит, а стародавній коштовний камінь у його центрі іноді вистрілює енергією, коли блокує ворожі атаки.
Items/GolemTrophy	Text		Фігурка вартового ядра
Items/GolemTrophyDesc	Text		Реалістичне зображення вартового ядра.
Items/GraveTree	Text		Пишне дерево
Items/GraveTreeDesc	Text		Це зелене дерево багато років росло в пустелі Азеоса. Посадіть його назад у землю, щоб прикрасити свій дім.
Items/GreaterHealingPotion	Text		Велике цілюще зілля
Items/GreaterHealingPotionDesc	Text		Набагато корисніший еліксир, який миттєво зцілює. До того ж має чудовий смак.
Items/GreenBlisterHead	Text		Зелена пухирчаста голова
Items/GreenBlisterHeadDesc	Text		Риба з великими зеленими бульбашками на голові.
Items/GreenDesertDestructible	Text		Оазисна квітка
Items/GreenDesertDestructibleDesc	Text		Корисна рослина, що містить природну здобич з пустелі.
Items/GreenFireFly	Text		Зелений жук-світлячок
Items/GreenFireFlyDesc	Text		Цей літаючий жук завжди з'являється в роях, які виглядають як танцюючі вогники. Його зелене світіння є біологічно специфічним.
Items/GreenKelp	Text		Зелені водорості
Items/GreenKelpDesc	Text		Зелена грудка морських рослин, не дуже корисна.
Items/GreenLargeDesertDestructible	Text		Велика оазисна квіткова посудина
Items/GreeneryPod	Text		Стручок зелені
Items/GreyDuneTail	Text		Сірий дюновий хвіст
Items/GreyDuneTailDesc	Text		Ця сіра, рухлива риба здатна переміщатися між водоймами в пустелі, змінюючи місця годування.
Items/GreyKelp	Text		Сірі водорості
Items/GreyKelpDesc	Text		Сіра грудка морських рослин, не дуже корисна.
Items/GroundAcidSlime	Text		Мелений кислотний слиз
Items/GroundAcidSlimeDesc	Text		Липка речовина, яка повільно розчиняє все, що до неї торкається.
Items/GroundBeachSandBlock	Text		Пляжний пісок
Items/GroundBeachSandBlockDesc	Text		Піщаний шматок землі.
Items/GroundCityBlock	Text		Міська підлога
Items/GroundCityBlockDesc	Text		Міцний шматок підлоги, викладений плиткою зі скляним склом і золотом.
Items/GroundClayBlock	Text		Глинистий грунт
Items/GroundClayBlockDesc	Text		Червоний, розсипчастий шматок землі.
Items/GroundDarkStoneBlock	Text		Темна кам'яна земля
Items/GroundDarkStoneBlockDesc	Text		Міцний темний шматок землі.
Items/GroundDesertSandBlock	Text		Пустельний пісок
Items/GroundDesertSandBlockDesc	Text		Бежевий піщаний шматок землі.
Items/GroundDesertTempleBlock	Text		Храмовий майданчик
Items/GroundDesertTempleBlock2	Text		Підлога лабіринту
Items/GroundDesertTempleBlock2Desc	Text		Надзвичайно міцний грунтовий блок, що використовувався в стародавніх лабіринтах.
Items/GroundDesertTempleBlockDesc	Text		Міцний шматок підлоги, викладений плиткою з пісковика та золота.
Items/GroundDirtBlock	Text		Грунтова підлога
Items/GroundDirtBlockDesc	Text		Коричневий шматок землі.
Items/GroundGrassBlock	Text		Трав'яниста земля
Items/GroundGrassBlockDesc	Text		Пишний шматок наземних рослин.
Items/GroundHiveBlock	Text		Земля з личинок
Items/GroundHiveBlockDesc	Text		Горбистий шматок... землі?
Items/GroundLavaBlock	Text		Лава камінь земля
Items/GroundLavaBlockDesc	Text		Розплавлений шматок землі.
Items/GroundLavaSlime	Text		Магматичний слиз
Items/GroundLavaSlimeDesc	Text		Липкий матеріал, змішаний з магмою, який обпікає необережних дослідників.
Items/GroundMeadowBlock	Text		Лугова земля
Items/GroundMeadowBlockDesc	Text		М'який шматок землі, на якому ростуть маленькі літні квіти.
Items/GroundMoldBlock	Text		Пліснява
Items/GroundMoldBlockDesc	Text		Запліснявілий шматок землі, який виділяє інфекційні спори.
Items/GroundObsidianBlock	Text		Обсидіанова земля
Items/GroundObsidianBlockDesc	Text		Незламний шматок землі. Ми знаємо, що ти шахраюєш.
Items/GroundPoisonSlime	Text		Отруйний слиз землі
Items/GroundPoisonSlimeDesc	Text		Липка речовина, яка накопичує токсини в організмі.
Items/GroundSandBlock	Text		Піщана земля
Items/GroundSandBlockDesc	Text		Жовтий, крихкий шматочок землі.
Items/GroundSlime	Text		Земляний слиз
Items/GroundSlimeDesc	Text		Липкий матеріал, який уповільнює необережних шукачів пригод. Згустки слизу з часом починають коагулювати на поверхнях, покритих слизом.
Items/GroundSlipperySlime	Text		Наземний слизький слиз
Items/GroundSlipperySlimeDesc	Text		Слизький матеріал, на якому важко встояти на ногах.
Items/GroundSnowBlock	Text		Сніг
Items/GroundSnowBlockDesc	Text		Білий, холодний шматок землі.
Items/GroundStoneBlock	Text		Кам'янистий грунт
Items/GroundStoneBlockDesc	Text		Міцний шматок землі.
Items/GroundTurfBlock	Text		Дерновий грунт
Items/GroundTurfBlockDesc	Text		М'який, порослий мохом шматок землі.
Items/GrubEggNecklace	Text		Намисто з яєць личинок
Items/GrubEggNecklaceDesc	Text		Це дивне намисто, здається, живе власним життям.
Items/GrubKapokSeed	Text		Насіння личинки капок
Items/GrubKapokSeedDesc	Text		Після збору врожаю перетворюється на рослину, яка дає волокно.
Items/GrubKnot	Text		Личинковий вузол
Items/GrubKnotDesc	Text		Мутований клубок маленьких личинок. Огидний.
Items/GrubPearl	Text		Перлина личинки
Items/GrubPearlDesc	Text		Це перлина у формі личинки чи перлиноподібна личинка?
Items/Grubzooka	Text		Жукозука
Items/GrubzookaDesc	Text		Потужні постріли Жукозуки також руйнують будь-які стіни з бруду, піску і дерну на своєму шляху.
Items/Grumpkin	Text		Буркотун
Items/GrumpkinDesc	Text		Грудочкуватий овоч, який виглядає дуже роздратованим, коли його висмикують з грунту.
Items/GrumpkinRare	Text		Золотий гарбуз
Items/GrumpkinRareDesc	Text		Дуже рідкісний різновид звичайного гарбуза.
Items/GrumpkinSeed	Text		Насіння гарбуза
Items/GrumpkinSeedDesc	Text		При посадці перетворюється на горбистий плід.
Items/GuardiansPotion	Text		Зілля охоронця
Items/GuardiansPotionDesc	Text		Зілля, яке наповнює вас великою хоробрістю і здатністю протистояти найсильнішим ворогам.
Items/HalloweenGoodieBag	Text		Торбинка з солодощами на Гелловін
Items/HalloweenGoodieBagDesc	Text		Мішок, повний моторошних солодощів і таємниць. Відкрийте його, щоб зазирнути всередину.
Items/HandMortar	Text		Ручний міномет
Items/HandMortarDesc	Text		Проблеми, які не можна вирішити, зазвичай можна підірвати.
Items/HardThorn	Text		Твердий шип
Items/HardThornDesc	Text		Міцний дерев'яний шип, можливо, комусь знадобиться.
Items/HealingPotion	Text		Цілюще зілля
Items/HealingPotionDesc	Text		Цілющий еліксир, який миттєво зцілює. До того ж приємний на смак.
Items/HeartBerry	Text		Сердечна ягода
Items/HeartBerryDesc	Text		Солодка, соковита ягода, яка освіжає організм.
Items/HeartBerryNecklace	Text		Намисто з серцевини
Items/HeartBerryNecklaceDesc	Text		Ягода-сердечко на шиї - ідеальний варіант для легкого перекусу!
Items/HeartBerryRare	Text		Золоте серце
Items/HeartBerryRareDesc	Text		Дуже рідкісний різновид звичайної серцевини.
Items/HeartBerrySeed	Text		Кісточка серцевини
Items/HeartBerrySeedDesc	Text		При посадці виростає у здоровий плід.
Items/HeartOfGold	Text		Золоте серце
Items/HeartOfGoldDesc	Text		Винагорода для тих, хто дійсно піклується про інших і допомагає, коли може.
Items/HeartberrySoda	Text		Содова з серцелистої ягоди
Items/HeartberrySodaDesc	Text		Цей консервований газований напій - справжній вибух смаку та солодощів у роті.
Items/HiveBigLarva	Text		Велика личинка вулика
Items/HiveBigLarvaTrophy	Text		Велика фігурка личинки вулика
Items/HiveBigLarvaTrophyDesc	Text		Реалістичне зображення личинки великої бджоли.
Items/HiveBone	Text		Кісточки вулика
Items/HiveBossCrystal	Text		Серце бджолиної матки
Items/HiveBossCrystalDesc	Text		Гігантський стародавній коштовний камінь, який перетворив свого власника на чудовисько.
Items/HiveBossSummoningItem	Text		Ідол виклику Бджолиної Матері
Items/HiveBossSummoningItemDesc	Text		Кришталевий ідол для пробудження Ройової Матері. Споживається після розміщення на руні виклику Матері-Рою.
Items/HiveDestructible	Text		Ройовий наріст
Items/HiveDestructibleDesc	Text		Наріст, схожий на вену, який відкриває здобич, коли його розкрити.
Items/HiveHalloweenBossSummoningItem	Text		Примарний ідол Матері вулика з привидами
Items/HiveHalloweenBossSummoningItemDesc	Text		Кришталевий ідол для пробудження Примарної Матері вулика. Витрачається після розміщення його на руні призову Матері вулика.
Items/HiveHalloweenBossTrophy	Text		Фігурка Примарної Бджолиної Матері
Items/HiveHalloweenBossTrophyDesc	Text		Реалістичне зображення Бджолиної Матері з привидами.
Items/HiveLarva	Text		Личинка вулика
Items/HiveLarvaTrophy	Text		Фігурка личинки вулика
Items/HiveLarvaTrophyDesc	Text		Реалістичне зображення личинки вулика.
Items/HiveMotherScanner	Text		Сканер Бджолиної Матері
Items/HiveMotherScannerDesc	Text		Сканує світ у пошуках Бджолиної Матері. Витрачається при успішному скануванні.
Items/HiveSpikeTrap	Text		Пастка з шипами для вулика
Items/HiveSpikeTrapDesc	Text		Пастка для личинок вулика, зроблена з гострих кісток, яка завдає шкоди будь-якій істоті, що на неї наступить.
Items/HivemotherChest	Text		Скриня матки-вулика
Items/HivemotherChestDesc	Text		Ця скриня пульсує так, ніби вона жива, і є залишком Бджолиної Матері.
Items/HivemotherHalloweenChest	Text		Скриня з привидами Матері-Рою з привидами
Items/HivemotherHalloweenChestDesc	Text		Ця скриня пульсує так, ніби вона жива, залишок Примарної Бджолиної Матері.
Items/HivemotherTrophy	Text		Фігурка Бджолиної Матері
Items/HivemotherTrophyDesc	Text		Реалістичне зображення Бджолиної Матері.
Items/HotChocolate	Text		Гарячий шоколад
Items/HotChocolateDesc	Text		Горнятко, наповнене вершковим гарячим шоколадним молоком з маленькими зефірками зверху. Коли п'єш його, відчуваєш, що знову стаєш дитиною.
Items/HotPunch	Text		Гарячий пунш
Items/HotPunchDesc	Text		Посидьте з цим приємним напоєм, і ви відчуєте, як по спині пробіжать мурашки від затишку. Він пряний, фруктовий і просто смачний.
Items/HunterBreastArmor	Text		Мисливський плащ
Items/HunterBreastArmorDesc	Text		Накидка, виготовлена зі сплетених разом великих листків. Робить вас схожими на ходячий кущ.
Items/HunterHelm	Text		Мисливський капюшон
Items/HunterHelmDesc	Text		Цей капюшон зроблений з великого листя, заправленого в пов'язку на голові. Дозволяє злитися із зеленим середовищем.
Items/HuntingSpear	Text		Мисливський спис
Items/HuntingSpearDesc	Text		Дуже груба зброя великої дальності, яку використовували печерні люди, що мешкали в Глиняних печерах. Добре підходить для полювання на личинок і підсмажування їх на вогнищі.
Items/IgneousTrophy	Text		Фігурка Ігнеуса
Items/IgneousTrophyDesc	Text		Реалістичне зображення розплавленої маси Ігнеуса.
Items/IncenseBowl	Text		Чаша для пахощів
Items/IncenseBowlDesc	Text		Порцелянова чаша з синіми деталями по краях і темним залишком у центрі. Запах, який все ще зберігається навколо неї, полегшує відчуття.
Items/InfectedCaveling	Text		Заражена печера
Items/InfoBoardBroken	Text		Розбита голопанель
Items/InfoBoardBrokenDesc	Text		Розбита панель із синього скла. На ній важко розгледіти мерехтливі гліфи.
Items/InfoBoardLarge	Text		Великий голоборд
Items/InfoBoardLargeDesc	Text		Вертикальна велика панель із синього скла. Мерехтливі гліфи на ній виглядають майже як якась реклама.
Items/InfoBoardSmall	Text		Малий голоборд
Items/InfoBoardSmallDesc	Text		Вертикальне панно з блакитного скла. Мерехтливі гліфи на ній майже нагадують карту міста.
Items/InstrumentCello	Text		Віолончель
Items/InstrumentCelloDesc	Text		Струнний інструмент, виготовлений з дерева. Це не витвір світового рівня, але достатньо хороший, щоб наповнити гармонією тихі печери.
Items/InstrumentDrumkit	Text		Барабанна установка
Items/InstrumentDrumkitDesc	Text		Інструмент, який дратує сусідів, але при правильній грі викликає непереборний ритм.
Items/InstrumentFlute	Text		Флейта
Items/InstrumentFluteDesc	Text		Тонкий духовий інструмент, що видає свистячий звук. Може бути складним для освоєння.
Items/InstrumentHarp	Text		Арфа
Items/InstrumentHarpDesc	Text		Просте ковзання кінчиків пальців по тонких струнах арфи призводить до гармонійного звуку, що вібрує у повітрі.
Items/InstrumentPiano	Text		Кишенькове піаніно
Items/InstrumentPianoDesc	Text		На цьому портативному клавішному інструменті можна грати сольно або як гарне доповнення до оркестру.
Items/IntactGrave	Text		Могила слуги
Items/IntactGraveDesc	Text		На цій могилі з каменю зображено рельєф стародавнього печерного слуги, який служив королівству, що колись існувало в пустелі.
Items/InventoryAncientChest	Text		Стародавня скриня
Items/InventoryAncientChestDesc	Text		Цій скрині, здається, тисячі років.
Items/InventoryChest	Text		Скриня
Items/InventoryChestDesc	Text		Зручна для зберігання великої кількості предметів. Предмети можна використовувати під час ремесла, якщо поставити скриню поруч з верстатом.
Items/InventoryDesertBiomeChest	Text		Золота антична скриня
Items/InventoryDesertBiomeChestDesc	Text		Золота версія старовинної скрині, яка здається ще старішою.
Items/InventoryLarvaHiveChest	Text		Скриня-вулик з личинками
Items/InventoryLarvaHiveChestDesc	Text		Менше схожа на скриню, а більше на живий організм.
Items/InventoryLavaChest	Text		Тліюча скриня
Items/InventoryLavaChestDesc	Text		Контейнер з вогняною скоринкою, але його вміст безпечний для зберігання.
Items/InventoryMoldDungeonChest	Text		Скриня, вкрита пліснявою
Items/InventoryMoldDungeonChestDesc	Text		Старовинна скриня, вкрита білою пліснявою.
Items/InventorySeaBiomeChest	Text		Скриня з черепашок
Items/InventorySeaBiomeChestDesc	Text		Скриня чи молюск?
Items/IronAnvil	Text		Залізне ковадло
Items/IronAnvilDesc	Text		Чудово підходить для створення високорівневого спорядження.
Items/IronBar	Text		Залізний злиток
Items/IronBarDesc	Text		Міцний злиток металу для ковальства.
Items/IronBow	Text		Залізний лук
Items/IronBowDesc	Text		Міцний лук, щоб стріляти у ворогів здалеку.
Items/IronBreastArmor	Text		Залізний нагрудник
Items/IronBreastArmorDesc	Text		Заряджайте в бій цю епічну нагрудну прикрасу.
Items/IronChest	Text		Залізна скриня
Items/IronChestDesc	Text		Стара скриня, зроблена із заліза. Вона більше не замикається.
Items/IronChunkNecklace	Text		Намисто із залізних шматків
Items/IronChunkNecklaceDesc	Text		Важкий ювелірний виріб, що підвищує захист.
Items/IronFishingRod	Text		Залізна вудка
Items/IronFishingRodDesc	Text		Міцний інструмент для витягування рідкісної риби.
Items/IronHelm	Text		Залізний шолом
Items/IronHelmDesc	Text		Міцний шолом для лицарів. Поставляється з забралом і яскравим плюмажем.
Items/IronHoe	Text		Залізна мотика
Items/IronHoeDesc	Text		Потужний інструмент для підготовки землі до землеробства. Покриває площу 4х4 плитки.
Items/IronKey	Text		Залізний ключ
Items/IronKeyDesc	Text		Старий ключ, відлитий із заліза. Десь має бути замок, до якого він підходить.
Items/IronMiningPick	Text		Залізна кирка
Items/IronMiningPickDesc	Text		Міцний інструмент, відмінно підходить для ламання твердих стін.
Items/IronOre	Text		Залізна руда
Items/IronOreBoulder	Text		Валун залізної руди
Items/IronOreDesc	Text		Зазвичай зустрічається в кам'яних стінах.
Items/IronPantsArmor	Text		Залізні штани
Items/IronPantsArmorDesc	Text		У вас сталеві коліна!
Items/IronShovel	Text		Залізна лопата
Items/IronShovelDesc	Text		Міцна лопата, відмінно підходить для копання землі.
Items/IronSledge	Text		Залізний кувалда
Items/IronSledgeDesc	Text		Сильна зброя для розбивання ворогів і стін.
Items/IronSword	Text		Залізний меч
Items/IronSwordDesc	Text		Сильна зброя для знищення ворогів.
Items/IronWorkBench	Text		Залізний верстак
Items/IronWorkBenchDesc	Text		Незамінний верстат для виживання в підземеллі.
Items/IvyBreastArmor	Text		Терновий аркан Айві
Items/IvyBreastArmorDesc	Text		Цей органічний нагрудний обладунок вкритий колючками, що посилюють критичні удари.
Items/IvyChest	Text		Скриня Плюща
Items/IvyChestDesc	Text		Вкриті слизом груди, що нагадують отруйну масу.
Items/IvyPantsArmor	Text		Штани Плюща
Items/IvyPantsArmorDesc	Text		Нижня частина одягу, що виросла в підземних джунглях, з колючими наколінниками.
Items/IvyRing	Text		Перстень Плюща
Items/IvyRingDesc	Text		Органічний перстень, вирощений з вкритих слизом колючок.
Items/IvyTrophy	Text		Фігурка плюща
Items/IvyTrophyDesc	Text		Реалістичне зображення отруйної маси плюща.
Items/JellyFish	Text		Медуза-самоцвіт
Items/JellyFishDesc	Text		Сяючий вид медуз, який успадкував давню енергетику.
Items/JellyfishDestructable	Text		Викинуте на берег желе
Items/JellyfishDestructableDesc	Text		Желеподібна істота, що містить дари моря.
Items/JewelryWorkBench	Text		Ювелірний верстак
Items/JewelryWorkBenchDesc	Text		Верстак для створення каблучок та намист.
Items/JingleJamCookie	Text		Печиво з джемом Jingle Jam Cookie
Items/JingleJamCookieDesc	Text		Спеціальний подарунок за участь у благодійній акції Jingle Jam.
Items/JuteBag	Text		Поясна кишеня
Items/JuteBagDesc	Text		Проста кишеня на пояс, виготовлена зі шліфованої кори.
Items/KeenPotion	Text		Гостре зілля
Items/KeenPotionDesc	Text		Холодний еліксир, що фокусує ваші відчуття та допомагає зосередитися на меті.
Items/KelpTree	Text		Водоростеве дерево
Items/KelpTreeDesc	Text		Технічно це не дерево, а гігантські водорості з двоспіральним коралом у вигляді стовбура.
Items/KeyCraftingTable	Text		Стіл для лиття ключів
Items/KeyCraftingTableDesc	Text		Робочий стіл зі змінними ливарними пластинами для створення різноманітних ключів.
Items/Kiln1	Text		Зламана глиняна піч
Items/Kiln1Desc	Text		Після багатьох років використання ця стара піч не підлягає ремонту.
Items/Kiln2	Text		Відро для випалювання глини
Items/Kiln2Desc	Text		Простий пристрій, який використовувався для випалювання глини та надання їй твердості.
Items/KingSlimeChest	Text		Скриня короля Слизуна
Items/KingSlimeChestDesc	Text		Покрита слизом скриня із золотими вставками, що нагадує про короля Слимака.
Items/KingSlimeCrown	Text		Корона Короля Слизуна
Items/KingSlimeCrownDesc	Text		Рідкісний головний убір, який коронує вас як короля всіх слимаків. У ньому ви почуваєтеся по-королівськи.
Items/KingSlimeSummoningItem	Text		Ідол виклику корони
Items/KingSlimeSummoningItemDesc	Text		Кришталевий ідол, який здається неземним. Витрачається, якщо покласти його на будь-яку руну виклику гігантського слимака.
Items/KingSlimeTrophy	Text		Фігурка Короля Слизу
Items/KingSlimeTrophyDesc	Text		Реалістичне зображення Короля Слимака.
Items/KingfishScale	Text		Луска королівської риби
Items/KingfishScaleDesc	Text		Ця прекрасна луска, здається, належить справді надзвичайній рибі.
Items/Lamp	Text		Лампа
Items/LampDesc	Text		Світиться, коли подається електрика.
Items/LandKelp	Text		Наземна ламінарія
Items/LandKelpDesc	Text		Різновид ламінарії, що може рости поза водою.
Items/Lantern	Text		Ліхтар
Items/LanternDesc	Text		Невеликий, корисний ліхтарик, який залишає вашу основну руку вільною.
Items/LargeAncientDestructible	Text		Велика старовинна скриня
Items/LargeBomb	Text		Велика бомба
Items/LargeBombDesc	Text		Дуже сильна вибухівка для масових руйнувань.
Items/LargeCityDestructible	Text		Великий ящик мегаполісу
Items/LargeDesertDestructible	Text		Велика пустельна квіткова посудина
Items/LargeDesertTempleDestructible	Text		Великий храмовий ящик
Items/LargeJellyfishDestructable	Text		Велике винесене на берег желе
Items/LargeMoldDestructible	Text		Велика посудина з цвіллю
Items/LargeShinyGlimmeringObject	Text		Великий блискучий мерехтливий об'єкт
Items/LargeShinyGlimmeringObjectDesc	Text		Кристалічний об'єкт у формі яйця. Він приверне вашу увагу навіть з великої відстані.
Items/LargeTempleRug	Text		Великий килим для декору храму
Items/LargeTempleRugDesc	Text		Великий старовинний килим з витканим дуже детальним малюнком. Колись він, мабуть, був дорогою річчю і ознакою процвітання.
Items/LargeWaterCan	Text		Велика лійка
Items/LargeWaterCanDesc	Text		Використовується для поливу насіння та грунту. Вміщує більше води, ніж звичайна лійка, і покриває площу 2х2 плитки.
Items/Larva	Text		Личинка
Items/LarvaBBQ	Text		Вогнище для смаження
Items/LarvaBBQDesc	Text		Частково камін, частково барбекю - це чудове місце, щоб зібратися разом і насолодитися підсмаженими шматочками м'яса личинок.
Items/LarvaBossCrystal	Text		Ріг Горма
Items/LarvaBossCrystalDesc	Text		Гострий дорогоцінний камінь, який дозволяє личинці вирости набагато більше свого максимального розміру.
Items/LarvaBossScanner	Text		Сканер Горма - Пожирача
Items/LarvaBossScannerDesc	Text		Сканує світ у пошуках Горма - Пожирача. Витрачається при успішному скануванні.
Items/LarvaBossSummoningItem	Text		Ідол виклику Горма
Items/LarvaBossSummoningItemDesc	Text		Кришталевий ідол для пробудження Горма - Пожирача. Витрачається при розміщенні його на руні виклику Горма.
Items/LarvaBreastArmor	Text		Скриня личинки
Items/LarvaBreastArmorDesc	Text		Не будь ніким іншим. Будь личинкою.
Items/LarvaHelm	Text		Шолом личинки
Items/LarvaHelmDesc	Text		Не потрібно химерних капелюхів. Просто їж.
Items/LarvaMeat	Text		М'ясо личинки.
Items/LarvaMeatDesc	Text		Лише справжні виживці їдять його сирим.
Items/LarvaRing	Text		Перстень личинки
Items/LarvaRingDesc	Text		Живий перстень, не для боягузів.
Items/LarvaSkewer	Text		Шашлик з личинок
Items/LarvaSkewerDesc	Text		Досить жорстокий спосіб нанизування м'яса для подальшого використання.
Items/LarvaSpikeClub	Text		Личинковий кийок
Items/LarvaSpikeClubDesc	Text		Зброя для биття, яку важко витримати.
Items/LarvaTrophy	Text		Фігурка личинки
Items/LarvaTrophyDesc	Text		Реалістичне зображення личинки.
Items/LarvaskinRug	Text		Килимок з личинок
Items/LarvaskinRugDesc	Text		Цей грубий килимок подвійно слугує трофеєм для впольованої личинки, яка надала свою шкіру.
